,primary_mode,trip_distance_meters,origin_bgrp_fips_2020,origin_bgrp_lat_2020,origin_bgrp_lng_2020,destination_bgrp_fips_2020,destination_bgrp_lat_2020,destination_bgrp_lng_2020,emission_factor,co2_emissions_grams
50010,private_auto,1670.7322593526771,360050345003,40.9025,-73.9005,360050285003,40.8884,-73.9005,175.0,292.37814538671853
50343,private_auto,1994.07115074898,360050117012,40.8134,-73.8827,360050115021,40.8207,-73.8866,175.0,348.9624513810715
50438,private_auto,6729.2391885409115,360050288002,40.8523,-73.85,360050273002,40.8757,-73.9015,175.0,1177.6168579946595
51225,private_auto,4790.105417319791,360810637001,40.7087,-73.8581,360810551004,40.7027,-73.9034,175.0,838.2684480309634
51549,private_auto,5014.126176428885,360810601002,40.7147,-73.9042,360810287003,40.7491,-73.8899,175.0,877.4720808750549
52959,private_auto,2183.0552924546687,360810493022,40.7275,-73.8906,360810243002,40.7353,-73.9064,175.0,382.03467617956704
53023,private_auto,405.90601247132906,360810245002,40.7398,-73.9065,360810245001,40.7401,-73.9044,175.0,71.03355218248258
57825,private_auto,1481.5083986985849,360050309003,40.8896,-73.9154,360050335002,40.891,-73.9054,175.0,259.2639697722523
59979,private_auto,6481.860475924575,360470606001,40.5866,-73.9544,360470690001,40.6206,-73.9193,175.0,1134.3255832868008
61413,private_auto,696.8196201511062,360610145005,40.7702,-73.9822,360610145001,40.7708,-73.9855,175.0,121.94343352644358
62934,private_auto,5230.334603315101,360470824004,40.6501,-73.9502,360470670001,40.6133,-73.9247,175.0,915.3085555801426
63625,private_auto,7011.485642308408,360470866002,40.6547,-73.9263,360470147001,40.6607,-73.9888,175.0,1227.0099874039715
63841,private_auto,4181.438626774159,360810091002,40.775,-73.9266,360810309041,40.7643,-73.8915,175.0,731.751759685478
66196,private_auto,441.6139772362397,360470570003,40.6001,-73.9351,360470632001,40.6008,-73.9329,175.0,77.28244601634195
67089,private_auto,1643.122768589272,360470578001,40.5996,-73.9504,360470570003,40.6001,-73.9351,175.0,287.5464845031226
67588,private_auto,691.455843705405,360610263002,40.847,-73.9362,360610253002,40.8432,-73.9373,175.0,121.00477264844587
70451,private_auto,7560.807845744162,360470814002,40.6536,-73.9412,360470018021,40.6587,-74.0097,175.0,1323.1413730052282
72104,private_auto,3060.8472554363884,360470628003,40.5863,-73.9217,360470594024,40.5968,-73.9441,175.0,535.648269701368
72268,private_auto,16970.46879204238,360470486002,40.6369,-73.9773,360810922001,40.5766,-73.8584,175.0,2969.832038607416
72340,private_auto,2611.2074458882807,360470554002,40.6066,-73.9608,360470564002,40.6061,-73.9444,175.0,456.96130303044913
72612,private_auto,4900.558462356976,360610074004,40.7478,-73.9819,360610015011,40.7109,-74.0059,175.0,857.5977309124708
73121,private_auto,1469.2265266971654,360470574002,40.5997,-73.9444,360470594041,40.5909,-73.9456,175.0,257.1146421720039
73773,private_auto,1933.767700927832,360470576001,40.6,-73.9466,360470596003,40.5905,-73.9414,175.0,338.4093476623706
74354,private_auto,455.80639006942647,360470576002,40.5998,-73.9485,360470594031,40.5964,-73.9474,175.0,79.76611826214963
74565,private_auto,20371.104076761512,360470594033,40.5954,-73.9498,360610092002,40.7539,-73.9756,175.0,3564.9432134332646
77088,private_auto,1911.5261600672757,360470394001,40.5994,-73.9623,360470560003,40.6053,-73.9515,175.0,334.51707801177326
77206,private_auto,354.8209446660974,360470509002,40.7027,-73.9516,360470529001,40.7046,-73.9529,175.0,62.09366531656704
77537,private_auto,4372.913977542748,360610124006,40.7666,-73.9522,360610062001,40.7393,-73.9751,175.0,765.259946069981
78134,private_auto,2013.777773848071,360470560002,40.6039,-73.9529,360470554002,40.6066,-73.9608,175.0,352.4111104234124
78458,private_auto,11184.771403123032,360470575002,40.7332,-73.9535,360810463002,40.7437,-73.8705,175.0,1957.3349955465305
80050,private_auto,7123.19066222001,360470772002,40.6306,-73.9527,360470610021,40.5753,-73.9555,175.0,1246.5583658885018
80207,private_auto,6094.80261309361,360610201011,40.8064,-73.9602,360610116001,40.7635,-73.9557,175.0,1066.5904572913817
80507,private_auto,920.4918577860803,360610124005,40.7657,-73.9561,360610118004,40.7654,-73.9593,175.0,161.08607511256406
81168,private_auto,4568.177525850656,360470610044,40.5788,-73.9564,360470544002,40.6118,-73.9574,175.0,799.4310670238648
81178,private_auto,1352.4475378127177,360470542002,40.6123,-73.962,360470544002,40.6118,-73.9574,175.0,236.67831911722558
82310,private_auto,1486.1041669307178,360470508031,40.6539,-73.9606,360470798011,40.6611,-73.9588,175.0,260.0682292128756
82823,private_auto,1546.8861228320593,360470510021,40.6488,-73.9596,360470798011,40.6611,-73.9588,175.0,270.7050714956104
82961,private_auto,2953.5885501135194,360470542001,40.6125,-73.9598,360470656001,40.6138,-73.9359,175.0,516.8779962698659
83377,private_auto,2167.2490631436926,360470257003,40.6994,-73.9471,360470535002,40.7047,-73.9605,175.0,379.2685860501462
83590,private_auto,49278.14100103518,360050456003,40.8875,-73.8148,360470554002,40.6066,-73.9608,175.0,8623.674675181157
83971,private_auto,1407.1744238673773,360610128004,40.7727,-73.9616,360610134007,40.7706,-73.9555,175.0,246.25552417679103
84636,private_auto,2093.1418319174822,360470600003,40.587,-73.9461,360470366003,40.5823,-73.9631,175.0,366.29982058555936
85581,private_auto,1782.9334989641252,360470794003,40.6492,-73.9571,360470520001,40.6394,-73.9648,175.0,312.01336231872193
86419,private_auto,4805.104255075471,360610120003,40.766,-73.9665,360610061003,40.7335,-73.991,175.0,840.8932446382074
86500,private_auto,16225.123568627308,360610084002,40.7513,-73.9846,360470526002,40.635,-73.9667,175.0,2839.3966245097786
86549,private_auto,519.9326944428304,360470374011,40.5896,-73.9691,360470374013,40.5878,-73.9668,175.0,90.98822152749533
87163,private_auto,991.2720070281385,360470418002,40.6043,-73.9654,360470440002,40.6129,-73.971,175.0,173.47260122992424
