,hex_id,geometry,emissions_per_hex
10,882a106e49fffff,"MULTIPOLYGON (((-74.2044803137906 40.51584792469182, -74.2108240142567 40.514784496410655, -74.21523321643838 40.51817156534385, -74.2132986123758 40.522622612480895, -74.20695389963514 40.52368626451128, -74.20254480334124 40.52029864562504, -74.20280247215248 40.51970613424261, -74.202923 40.519631, -74.203013 40.519615, -74.203042 40.519617, -74.203085 40.519661, -74.203085 40.519705, -74.202941 40.519787, -74.202798 40.520056, -74.202805 40.520128, -74.202848 40.520183, -74.203157 40.520391, -74.203179 40.520364, -74.203143 40.520287, -74.202956 40.520155, -74.202927 40.520111, -74.202941 40.519924, -74.203006 40.51982, -74.203136 40.519754, -74.203179 40.519716, -74.203186 40.519677, -74.203136 40.5196, -74.203085 40.519578, -74.203056 40.519574, -74.203025 40.519575, -74.20284360216985 40.519611555456265, -74.20287524865408 40.51953878412616, -74.203136 40.519512, -74.203517 40.519545, -74.203589 40.519529, -74.203639 40.519425, -74.203618 40.519359, -74.203574 40.519321, -74.203215 40.519184, -74.203121 40.519129, -74.2031 40.519052, -74.203294 40.518816, -74.203323 40.518739, -74.203301 40.518657, -74.20327613997735 40.51861693149291, -74.2044803137906 40.51584792469182)), ((-74.20302887143215 40.51918552738483, -74.203033 40.51919, -74.203437 40.519326, -74.203531 40.519392, -74.203524 40.519441, -74.20333 40.519441, -74.20290990735525 40.519459086180404, -74.20302887143215 40.51918552738483)))",12210.257427152783
11,882a1060b9fffff,"POLYGON ((-74.18544766916729 40.519036184328506, -74.18351025429638 40.5234867340168, -74.17716489066822 40.52454875474387, -74.1739652785585 40.52208838483171, -74.176006 40.520688, -74.176428 40.520341, -74.176784 40.520003, -74.1773 40.519581, -74.177478 40.519384, -74.177497 40.519338, -74.177525 40.519291, -74.1776 40.519281, -74.177684 40.519356, -74.177731 40.519394, -74.177759 40.519431, -74.17789 40.519462, -74.178078 40.519572, -74.178153 40.519628, -74.178247 40.519628, -74.17835 40.519656, -74.178425 40.519816, -74.178453 40.5199, -74.178575 40.519975, -74.178716 40.520059, -74.178913 40.520106, -74.179156 40.520078, -74.179259 40.520097, -74.17955 40.520378, -74.179888 40.520519, -74.179981 40.520528, -74.180384 40.520547, -74.180713 40.520594, -74.181059 40.520659, -74.181388 40.520641, -74.181659 40.520528, -74.181753 40.520491, -74.181941 40.520388, -74.182044 40.52035, -74.182194 40.520341, -74.182306 40.520284, -74.182578 40.520125, -74.182878 40.519975, -74.183168 40.519904, -74.183441 40.519806, -74.183863 40.51975, -74.184191 40.519647, -74.1845 40.519459, -74.184753 40.5193, -74.18530055585647 40.51892308135642, -74.18544766916729 40.519036184328506))",0.0
12,882a106e4dfffff,"POLYGON ((-74.2132986123758 40.522622612480895, -74.21523321643838 40.51817156534385, -74.22157703668738 40.517107518944044, -74.22598726497064 40.52049429574205, -74.22405356763537 40.524945668907336, -74.21770873517993 40.52600993927675, -74.2132986123758 40.522622612480895))",12158.007623623515
13,882a1060bdfffff,"POLYGON ((-74.19620021077287 40.52136167940853, -74.19426370196696 40.5258125556492, -74.1879182173194 40.526875194658935, -74.18351025429638 40.5234867340168, -74.18544766916729 40.519036184328506, -74.19179214110598 40.517973768699626, -74.19191177158491 40.51806571311324, -74.191906 40.518109, -74.191963 40.518166, -74.192066 40.51825, -74.192103 40.5184, -74.191934 40.518569, -74.191813 40.518644, -74.19155 40.518756, -74.1914 40.518916, -74.191325 40.519141, -74.191297 40.519375, -74.191222 40.519525, -74.191194 40.519769, -74.191241 40.519938, -74.191334 40.5202, -74.191362 40.520419, -74.191531 40.520163, -74.191475 40.519966, -74.191372 40.519872, -74.191375 40.519824, -74.1914 40.519684, -74.191522 40.519459, -74.191719 40.519216, -74.19185 40.519084, -74.192169 40.518841, -74.192394 40.518681, -74.192516 40.518531, -74.19251641358797 40.51853042290051, -74.19620021077287 40.52136167940853))",19405.04234637784
14,882a106193fffff,"POLYGON ((-74.22405356763537 40.524945668907336, -74.22598726497064 40.52049429574205, -74.23233120454508 40.519429631131565, -74.23674245881276 40.52281611552677, -74.2348096685452 40.52726781454458, -74.22846471683269 40.52833270334507, -74.22405356763537 40.524945668907336))",33427.55080864953
15,882a1060a3fffff,"POLYGON ((-74.19426370196696 40.5258125556492, -74.19620021077287 40.52136167940853, -74.20254480334124 40.52029864562504, -74.20695389963514 40.52368626451128, -74.20501829723507 40.528137467128886, -74.19867269202555 40.52920072451367, -74.19426370196696 40.5258125556492))",3559.1915847128375
16,882a106083fffff,"POLYGON ((-74.17716489066822 40.52454875474387, -74.17522647709755 40.528999459315486, -74.16888022180343 40.53006108486464, -74.16447339333246 40.526671782799674, -74.16470587922313 40.52613827085575, -74.164841 40.526059, -74.164991 40.525947, -74.165197 40.525741, -74.165309 40.525638, -74.165619 40.525534, -74.165947 40.525375, -74.166153 40.525272, -74.166884 40.524807, -74.167156 40.524625, -74.167531 40.5244, -74.167794 40.52425, -74.168019 40.524156, -74.168188 40.524081, -74.168413 40.524015, -74.168544 40.524006, -74.168656 40.523978, -74.168769 40.523884, -74.168863 40.5238, -74.168994 40.523631, -74.169078 40.523556, -74.169238 40.523463, -74.1695 40.523341, -74.169631 40.523256, -74.169941 40.523125, -74.170034 40.523088, -74.170184 40.52305, -74.170475 40.523059, -74.1707 40.523153, -74.170841 40.523303, -74.171075 40.523491, -74.171197 40.523472, -74.171731 40.523341, -74.172006 40.523263, -74.172753 40.522879, -74.173466 40.522431, -74.1739652785585 40.52208838483171, -74.17716489066822 40.52454875474387))",19635.917821610612
17,882a106197fffff,"POLYGON ((-74.2392218440184 40.53065455635651, -74.2348096685452 40.52726781454458, -74.23674245881276 40.52281611552677, -74.24288683261297 40.521784363300576, -74.24286 40.52185, -74.242766 40.522056, -74.2427 40.522281, -74.24271 40.522469, -74.242775 40.522666, -74.242833 40.522783, -74.24286 40.523003, -74.242841 40.523266, -74.24285 40.523528, -74.242832 40.523875, -74.242925 40.524175, -74.243047 40.524372, -74.243179 40.524559, -74.243432 40.524766, -74.243622 40.524825, -74.243788 40.524888, -74.243879 40.52496, -74.243938 40.525066, -74.243994 40.525122, -74.24405 40.525197, -74.244041 40.525253, -74.243966 40.525253, -74.243854 40.525234, -74.243769 40.525366, -74.243629 40.525778, -74.243572 40.526041, -74.24346 40.526275, -74.243293 40.526542, -74.243104 40.526828, -74.242991 40.527044, -74.242944 40.527231, -74.242932 40.527517, -74.242954 40.527775, -74.242944 40.527963, -74.242925 40.528009, -74.24286 40.528103, -74.2426 40.528413, -74.242419 40.529125, -74.242227 40.529629, -74.242035 40.529941, -74.24186826117055 40.5302101520191, -74.2392218440184 40.53065455635651))",22705.688627556734
18,882a1060a7fffff,"POLYGON ((-74.20501829723507 40.528137467128886, -74.20695389963514 40.52368626451128, -74.2132986123758 40.522622612480895, -74.21770873517993 40.52600993927675, -74.21577403952645 40.530461468095716, -74.20942831421259 40.53152534394784, -74.20501829723507 40.528137467128886))",31227.435239746275
19,882a106087fffff,"POLYGON ((-74.17522647709755 40.528999459315486, -74.17716489066822 40.52454875474387, -74.18351025429638 40.5234867340168, -74.1879182173194 40.526875194658935, -74.18598070983239 40.531326225956036, -74.1796343331289 40.53238846991583, -74.17522647709755 40.528999459315486))",19792.31086570269
