hex_id,Mean_Degree
882a106039fffff,nan
882a106019fffff,4.7272727272727275
882a10601dfffff,nan
882a106003fffff,nan
882a106007fffff,2.0
882a106057fffff,3.0
882a106001fffff,4.433333333333334
882a106051fffff,5.586206896551724
882a106005fffff,5.5
882a10628dfffff,5.068181818181818
882a1062ddfffff,5.473684210526316
882a106053fffff,4.956521739130435
882a1062e3fffff,4.518518518518518
882a1062c3fffff,6.234375
882a1062e7fffff,4.0
882a1062c7fffff,5.021739130434782
882a107537fffff,7.0
882a10605bfffff,5.285714285714286
882a1062ebfffff,2.0
882a10743bfffff,4.958333333333333
882a107431fffff,4.704545454545454
882a107435fffff,4.7
882a107439fffff,4.195121951219512
882a10743dfffff,4.666666666666667
882a107407fffff,4.819672131147541
882a107531fffff,5.343283582089552
882a107401fffff,5.741935483870968
882a107405fffff,5.448275862068965
882a107539fffff,4.507462686567164
882a1062cbfffff,5.258823529411765
882a1062e1fffff,nan
882a1062c1fffff,5.689655172413793
882a1062e5fffff,5.705882352941177
882a1062c5fffff,5.333333333333333
882a107535fffff,5.67741935483871
882a106059fffff,5.333333333333333
882a1062e9fffff,6.0
882a1062c9fffff,5.0344827586206895
882a1062edfffff,6.142857142857143
882a106055fffff,5.0
882a106009fffff,4.634146341463414
882a10600dfffff,3.375
882a10605dfffff,5.145833333333333
882a106043fffff,6.0
882a106047fffff,4.428571428571429
882a10606bfffff,4.0
882a10604bfffff,5.42
882a106041fffff,3.5833333333333335
882a106045fffff,4.3
882a1062cdfffff,4.666666666666667
882a106233fffff,5.96
882a106213fffff,5.7073170731707314
882a107523fffff,4.741573033707865
882a106237fffff,3.6153846153846154
882a106217fffff,6.957746478873239
882a107527fffff,5.094594594594595
882a10623bfffff,5.28
882a10621bfffff,4.756756756756757
882a106231fffff,5.1875
882a107429fffff,5.155555555555556
882a10753dfffff,5.325301204819277
882a10740dfffff,5.882352941176471
882a107503fffff,4.75
882a107463fffff,6.022222222222222
882a107507fffff,4.282608695652174
882a107467fffff,6.038461538461538
882a10752bfffff,4.055555555555555
882a10755bfffff,6.0
882a10746bfffff,5.918367346938775
882a106211fffff,5.0
882a107521fffff,4.170454545454546
882a106235fffff,4.454545454545454
882a106215fffff,4.833333333333333
882a107525fffff,5.234375
882a106239fffff,5.663157894736842
882a106219fffff,5.674418604651163
882a107529fffff,5.016949152542373
882a10623dfffff,5.627118644067797
882a10621dfffff,5.721311475409836
882a107551fffff,3.586206896551724
882a107461fffff,6.0
882a107505fffff,5.111111111111111
882a107555fffff,5.176470588235294
882a107465fffff,6.024390243902439
882a107559fffff,5.358974358974359
882a107469fffff,6.125
882a10755dfffff,5.183333333333334
882a10746dfffff,5.912280701754386
882a107563fffff,4.4
882a106069fffff,nan
882a106049fffff,5.861111111111111
882a10604dfffff,4.2
882a106313fffff,4.4
882a106223fffff,5.134328358208955
