hex_id,street_density_km
882a106049fffff,1949513931.0902185
882a10604dfffff,1025331237.4153694
882a106313fffff,581997056.1961654
882a106223fffff,2742365614.4469976
882a106317fffff,0.0
882a106227fffff,1636583223.4227824
882a10631bfffff,759001270.0596775
882a106311fffff,8566149.552411145
882a106221fffff,2677127353.354921
882a10752dfffff,2219606720.155481
882a106203fffff,3028282807.9316845
882a106253fffff,1437059636.104478
882a106207fffff,3084908376.02093
882a106257fffff,1947969772.1177056
882a107567fffff,2217362348.065643
882a10622bfffff,2251442820.9820814
882a10620bfffff,2133411907.1399512
882a10625bfffff,1119528877.4698493
882a106201fffff,2575374108.656878
882a1074ddfffff,0.0
882a1076b7fffff,227038605.6763448
882a1076b1fffff,1023952386.5672995
882a1076a1fffff,1561045684.3382905
882a1076adfffff,2759417383.172546
882a1076e7fffff,2768329644.7447433
882a10745bfffff,2154978864.3410974
882a1076e1fffff,281237711.6355916
882a1076e5fffff,2075206859.5507982
882a107459fffff,2087786679.0714104
882a1076bbfffff,345820694.82378507
882a107695fffff,433051095.22690314
882a1076b9fffff,1481522649.2826788
882a1076e3fffff,1691759332.3945146
882a1076c7fffff,327372001.1776112
882a1076ebfffff,637100588.7798873
882a1076c5fffff,478054796.628477
882a1076e9fffff,657970972.4082105
882a107613fffff,2630738536.025872
882a107617fffff,1871068406.7302284
882a107411fffff,1752162871.073386
882a107415fffff,1483358031.847954
882a1076a5fffff,1879476841.1858327
882a107419fffff,3033800924.6296453
882a10741dfffff,2566213868.3477335
882a107403fffff,1087046562.948014
882a107453fffff,2767930969.0884757
882a107457fffff,2566183683.5357966
882a10740bfffff,2329293994.178457
882a107451fffff,1906182154.358666
882a107455fffff,2420513434.228201
882a107409fffff,2173508924.4348974
882a10745dfffff,2046415577.7318344
882a107443fffff,2330005941.1505895
882a107447fffff,2476131916.879188
882a10744bfffff,2009037176.5435958
882a107441fffff,2129281447.9201436
882a107445fffff,2318420755.013996
882a107635fffff,2277987754.678641
882a107449fffff,2016551642.4090009
882a1076edfffff,323156465.0334362
882a107633fffff,1442305035.4767783
882a107637fffff,2238914409.7668567
882a10763bfffff,2463691289.190058
882a107631fffff,2252745741.116487
882a107639fffff,2163027936.77797
882a10763dfffff,2528512280.112645
882a107603fffff,2188573063.6581798
882a107607fffff,2870624641.313611
882a10762bfffff,2295508426.2225633
882a10744dfffff,2001491671.6565914
882a107713fffff,1926621847.2640252
882a107623fffff,2032984260.726847
882a107627fffff,2251187506.6591616
882a10771bfffff,2436396776.6088552
882a107621fffff,2173566564.061499
882a107625fffff,2279465112.9954524
882a107719fffff,2265717754.077457
882a10762dfffff,2295617643.890349
882a107753fffff,1944583589.7561703
882a107601fffff,2369988085.279655
882a107605fffff,2271432704.9760175
882a107629fffff,2225152497.188236
882a10760dfffff,2410534530.5732746
882a107663fffff,1993049044.0501842
882a10766bfffff,2589021684.9592514
882a107661fffff,1902022590.1973796
